t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r,pres_z,pres_roll,pres_pitch,pres_yaw
0.0000,0.000001,-0.349066,0.349066,-0.179476,0.177942,-0.002234,2.6382,2.1782,0.5020
0.0201,0.020086,-0.348076,0.348076,-0.179476,0.177942,-0.002234,2.6382,2.1782,0.5020
0.0402,0.020084,-0.345105,0.345105,-0.181010,0.177942,-0.002234,2.6382,2.1782,0.5020
0.0603,0.020106,-0.340148,0.340148,-0.228563,0.225495,-0.002223,2.6883,2.1631,0.5567
0.0804,0.020087,-0.333214,0.333214,-0.314466,0.308330,-0.002210,2.6333,2.1455,0.4972
0.1005,0.020092,-0.324298,0.324298,-0.366621,0.362019,-0.002188,2.6010,2.1782,0.3961
0.1205,0.020087,-0.313402,0.313402,-0.381961,0.372757,-0.002163,2.5051,2.1366,0.2988
0.1406,0.020093,-0.300653,0.300653,-0.369689,0.360485,-0.002165,2.5151,2.1410,0.3090
0.1607,0.020096,-0.287500,0.287500,-0.346680,0.343612,-0.002175,2.4134,2.1077,0.3609
0.1808,0.020093,-0.274349,0.274349,-0.323670,0.328272,-0.002161,2.4633,2.0750,0.3020
0.2009,0.020087,-0.261203,0.261203,-0.305262,0.308330,-0.002135,2.3590,2.0405,0.2003
0.2210,0.020085,-0.248057,0.248057,-0.289922,0.294524,-0.002138,2.3699,2.0442,0.2109
0.2411,0.020090,-0.234908,0.234908,-0.277651,0.282252,-0.002137,2.3684,2.0437,0.2094
0.2612,0.020092,-0.221758,0.221758,-0.266913,0.271515,-0.002137,2.3684,2.0437,0.2094
0.2813,0.020090,-0.208609,0.208609,-0.256175,0.257709,-0.002140,2.3794,2.0655,0.3182
0.3014,0.020087,-0.195463,0.195463,-0.245437,0.246971,-0.002127,2.4175,2.0271,0.2534
0.3214,0.020094,-0.182311,0.182311,-0.233165,0.234699,-0.002128,2.4135,2.0311,0.2602
0.3415,0.020088,-0.169163,0.169163,-0.216291,0.220893,-0.002141,2.3747,2.0668,0.3130
0.3619,0.020341,-0.155850,0.155850,-0.200951,0.205553,-0.002127,2.4180,2.0270,0.2540
0.3820,0.020095,-0.142698,0.142698,-0.188680,0.194816,-0.002128,2.4135,2.0312,0.2601
0.4021,0.020094,-0.129546,0.129546,-0.176408,0.181010,-0.002128,2.4135,2.0312,0.2601
0.4222,0.020090,-0.116397,0.116397,-0.164136,0.167204,-0.002128,2.4135,2.0312,0.2601
0.4422,0.020084,-0.103252,0.103252,-0.151864,0.151864,-0.002128,2.4135,2.0312,0.2601
0.4623,0.020094,-0.090101,0.090101,-0.138058,0.138058,-0.002128,2.4135,2.0312,0.2601
0.4824,0.020086,-0.076954,0.076954,-0.124252,0.124252,-0.002128,2.4135,2.0312,0.2601
0.5025,0.020097,-0.063801,0.063801,-0.111981,0.111981,-0.002128,2.4135,2.0312,0.2601
0.5226,0.020084,-0.050656,0.050656,-0.096641,0.096641,-0.002128,2.4135,2.0312,0.2601
0.5427,0.020098,-0.037717,0.037717,-0.085903,0.084369,-0.002128,2.4135,2.0312,0.2601
0.5628,0.020097,-0.026479,0.026479,-0.070563,0.070563,-0.002128,2.4135,2.0312,0.2601
0.5829,0.020088,-0.017228,0.017228,-0.058291,0.059825,-0.002118,2.4258,2.0807,0.2060
0.6030,0.020097,-0.009954,0.009954,-0.044485,0.046019,-0.002129,2.4126,2.0256,0.2651
0.6231,0.020097,-0.004663,0.004663,-0.029146,0.032214,-0.002128,2.4140,2.0313,0.2590
0.6432,0.020095,-0.001354,0.001354,-0.016874,0.021476,-0.002128,2.4140,2.0313,0.2590
0.6633,0.020091,-0.000028,0.000028,-0.007670,0.010738,-0.002128,2.4140,2.0313,0.2590
0.6834,0.020100,-0.000684,0.000684,-0.006136,0.001534,-0.002128,2.4140,2.0313,0.2590
0.7035,0.020108,-0.003325,0.003325,-0.004602,0.000000,-0.002128,2.4140,2.0313,0.2590
0.7236,0.020101,-0.007949,0.007949,-0.001534,0.001534,-0.002128,2.4140,2.0313,0.2590
0.7437,0.020089,-0.014551,0.014551,0.001534,0.000000,-0.002128,2.4140,2.0313,0.2590
0.7638,0.020091,-0.023136,0.023136,-0.003068,0.001534,-0.002141,2.3746,2.0668,0.3131
0.7839,0.020095,-0.033704,0.033704,-0.010738,0.009204,-0.002127,2.4180,2.0270,0.2540
0.8039,0.020092,-0.046214,0.046214,-0.013806,0.013806,-0.002128,2.4134,2.0312,0.2601
0.8240,0.020106,-0.059373,0.059373,-0.016874,0.015340,-0.002128,2.4134,2.0312,0.2601
0.8441,0.020090,-0.072522,0.072522,-0.027612,0.021476,-0.002128,2.4134,2.0312,0.2601
0.8642,0.020088,-0.085669,0.085669,-0.042951,0.033748,-0.002118,2.4258,2.0807,0.2060
0.8843,0.020089,-0.098818,0.098818,-0.059825,0.050621,-0.002129,2.4126,2.0256,0.2651
0.9044,0.020083,-0.111962,0.111962,-0.072097,0.069029,-0.002128,2.4140,2.0313,0.2590
0.9246,0.020210,-0.125190,0.125190,-0.082835,0.085903,-0.002128,2.4140,2.0313,0.2590
0.9447,0.020088,-0.138338,0.138338,-0.096641,0.098175,-0.002118,2.4257,2.0807,0.2061
0.9648,0.020087,-0.151484,0.151484,-0.113515,0.107379,-0.002129,2.4126,2.0256,0.2651
0.9849,0.020093,-0.164635,0.164635,-0.125786,0.118117,-0.002128,2.4140,2.0313,0.2590
1.0050,0.020088,-0.177783,0.177783,-0.134990,0.130388,-0.002128,2.4140,2.0313,0.2590
1.0264,0.021387,-0.191781,0.191781,-0.148796,0.147262,-0.002128,2.4140,2.0313,0.2590
1.0464,0.020086,-0.204927,0.204927,-0.162602,0.159534,-0.002141,2.3746,2.0668,0.3131
1.0665,0.020108,-0.218087,0.218087,-0.174874,0.170272,-0.002127,2.4180,2.0270,0.2540
1.0866,0.020097,-0.231241,0.231241,-0.188680,0.184078,-0.002128,2.4134,2.0312,0.2601
1.1067,0.020097,-0.244394,0.244394,-0.204019,0.199418,-0.002128,2.4134,2.0312,0.2601
1.1268,0.020098,-0.257548,0.257548,-0.216291,0.213223,-0.002128,2.4134,2.0312,0.2601
1.1469,0.020094,-0.270700,0.270700,-0.227029,0.227029,-0.002128,2.4134,2.0312,0.2601
1.1670,0.020101,-0.283856,0.283856,-0.254641,0.251573,-0.002118,2.4636,2.0163,0.3143
1.1871,0.020092,-0.297006,0.297006,-0.265379,0.263845,-0.002129,2.4087,2.0322,0.2538
1.2072,0.020094,-0.310030,0.310030,-0.279185,0.279185,-0.002128,2.4144,2.0306,0.2601
1.2273,0.020095,-0.321479,0.321479,-0.297592,0.294524,-0.002141,2.3746,2.0669,0.3130
1.2474,0.020093,-0.330944,0.330944,-0.308330,0.303728,-0.002140,2.3787,2.0631,0.3075
1.2675,0.020097,-0.338430,0.338430,-0.308330,0.303728,-0.002140,2.3787,2.0631,0.3075
1.2876,0.020089,-0.343931,0.343931,-0.332874,0.329806,-0.002140,2.3787,2.0631,0.3075
1.3077,0.020083,-0.347450,0.347450,-0.337476,0.337476,-0.002127,2.4176,2.0274,0.2545
1.3278,0.020092,-0.348990,0.348990,-0.343612,0.340544,-0.002128,2.4135,2.0311,0.2601
1.3479,0.020097,-0.348548,0.348548,-0.352816,0.346680,-0.002141,2.3747,2.0668,0.3130
1.3680,0.020101,-0.346122,0.346122,-0.351282,0.346680,-0.002141,2.3747,2.0668,0.3130
1.3881,0.020100,-0.341713,0.341713,-0.349748,0.346680,-0.002140,2.3787,2.0631,0.3075
1.4084,0.020349,-0.335230,0.335230,-0.352816,0.346680,-0.002127,2.4176,2.0274,0.2545
1.4288,0.020373,-0.326702,0.326702,-0.349748,0.343612,-0.002142,2.3742,2.0672,0.3135
1.4490,0.020256,-0.316204,0.316204,-0.345146,0.340544,-0.002140,2.3787,2.0630,0.3074
1.4693,0.020234,-0.303723,0.303723,-0.343612,0.340544,-0.002127,2.4176,2.0274,0.2545
1.4894,0.020097,-0.290569,0.290569,-0.339010,0.335942,-0.002142,2.3742,2.0672,0.3135
1.5095,0.020104,-0.277411,0.277411,-0.332874,0.331340,-0.002127,2.4180,2.0270,0.2539
1.5297,0.020236,-0.264167,0.264167,-0.320602,0.322136,-0.002142,2.3742,2.0672,0.3136
1.5499,0.020158,-0.250973,0.250973,-0.305262,0.308330,-0.002127,2.4180,2.0270,0.2539
1.5700,0.020108,-0.237812,0.237812,-0.286854,0.292990,-0.002127,2.4180,2.0270,0.2539
1.5904,0.020400,-0.224461,0.224461,-0.271515,0.276117,-0.002141,2.3747,2.0668,0.3130
1.6109,0.020556,-0.211007,0.211007,-0.257709,0.262311,-0.002127,2.4180,2.0270,0.2540
1.6310,0.020097,-0.197853,0.197853,-0.243903,0.246971,-0.002128,2.4135,2.0312,0.2601
1.6511,0.020089,-0.184705,0.184705,-0.231631,0.233165,-0.002128,2.4135,2.0312,0.2601
1.6717,0.020544,-0.171259,0.171259,-0.217825,0.220893,-0.002128,2.4135,2.0312,0.2601
1.6918,0.020094,-0.158107,0.158107,-0.202485,0.208621,-0.002131,2.3865,2.1168,0.2594
1.7119,0.020129,-0.144933,0.144933,-0.188680,0.194816,-0.002128,2.4167,2.0218,0.2595
1.7320,0.020096,-0.131780,0.131780,-0.176408,0.179476,-0.002142,2.3743,2.0678,0.3130
1.7521,0.020134,-0.118602,0.118602,-0.164136,0.167204,-0.002127,2.4180,2.0269,0.2540
1.7724,0.020318,-0.105304,0.105304,-0.148796,0.150330,-0.002128,2.4134,2.0312,0.2601
1.7930,0.020600,-0.091821,0.091821,-0.138058,0.136524,-0.002128,2.4134,2.0312,0.2601
1.8135,0.020411,-0.078462,0.078462,-0.124252,0.122718,-0.002141,2.3747,2.0668,0.3130
1.8337,0.020226,-0.065224,0.065224,-0.110447,0.110447,-0.002127,2.4180,2.0270,0.2540
1.8538,0.020090,-0.052075,0.052075,-0.095107,0.095107,-0.002128,2.4135,2.0312,0.2601
1.8741,0.020294,-0.038927,0.038927,-0.082835,0.081301,-0.002128,2.4135,2.0312,0.2601
1.8942,0.020092,-0.027497,0.027497,-0.069029,0.067495,-0.002128,2.4135,2.0312,0.2601
1.9142,0.020093,-0.018048,0.018048,-0.055223,0.055223,-0.002128,2.4135,2.0312,0.2601
1.9343,0.020092,-0.010582,0.010582,-0.041417,0.041417,-0.002128,2.4135,2.0312,0.2601
1.9544,0.020095,-0.005096,0.005096,-0.026078,0.029146,-0.002128,2.4135,2.0312,0.2601
1.9745,0.020093,-0.001593,0.001593,-0.015340,0.016874,-0.002131,2.3865,2.1168,0.2594
1.9946,0.020105,-0.000071,0.000071,-0.006136,0.007670,-0.002128,2.4167,2.0218,0.2595
2.0147,0.020102,-0.000533,0.000533,-0.004602,0.003068,-0.002128,2.4136,2.0317,0.2595
2.0349,0.020137,-0.002985,0.002985,-0.003068,0.003068,-0.002128,2.4140,2.0303,0.2595
2.0550,0.020098,-0.007416,0.007416,0.001534,0.001534,-0.002128,2.4140,2.0303,0.2595
2.0752,0.020279,-0.013897,0.013897,0.000000,0.000000,-0.002118,2.4257,2.0808,0.2060
2.0954,0.020143,-0.022334,0.022334,-0.006136,0.000000,-0.002129,2.4126,2.0256,0.2651
2.1155,0.020085,-0.032729,0.032729,-0.007670,0.006136,-0.002128,2.4140,2.0313,0.2590
2.1355,0.020049,-0.045069,0.045069,-0.007670,0.013806,-0.002128,2.4140,2.0313,0.2590
2.1556,0.020087,-0.058216,0.058216,-0.016874,0.023010,-0.002128,2.4140,2.0313,0.2590
2.1757,0.020097,-0.071369,0.071369,-0.029146,0.027612,-0.002128,2.4140,2.0313,0.2590
2.1958,0.020092,-0.084519,0.084519,-0.046019,0.036816,-0.002141,2.3746,2.0668,0.3131
2.2160,0.020160,-0.097714,0.097714,-0.062893,0.053689,-0.002127,2.4180,2.0270,0.2540
2.2362,0.020201,-0.110935,0.110935,-0.069029,0.069029,-0.002142,2.3742,2.0672,0.3136
2.2563,0.020157,-0.124127,0.124127,-0.075165,0.084369,-0.002140,2.3787,2.0630,0.3074
2.2764,0.020093,-0.137278,0.137278,-0.092039,0.099709,-0.002127,2.4176,2.0274,0.2545
2.2965,0.020094,-0.150430,0.150430,-0.113515,0.110447,-0.002142,2.3742,2.0672,0.3135
2.3166,0.020095,-0.163582,0.163582,-0.130388,0.122718,-0.002127,2.4180,2.0270,0.2539
2.3367,0.020122,-0.176752,0.176752,-0.139592,0.134990,-0.002128,2.4134,2.0312,0.2601
2.3570,0.020234,-0.189995,0.189995,-0.148796,0.148796,-0.002128,2.4134,2.0312,0.2601
2.3771,0.020095,-0.203147,0.203147,-0.165670,0.164136,-0.002128,2.4134,2.0312,0.2601
2.3974,0.020379,-0.216486,0.216486,-0.182544,0.179476,-0.002118,2.4258,2.0807,0.2060
2.4178,0.020403,-0.229839,0.229839,-0.194816,0.188680,-0.002119,2.4245,2.0755,0.2116
2.4380,0.020116,-0.243005,0.243005,-0.200951,0.197884,-0.002129,2.4128,2.0261,0.2645
2.4582,0.020230,-0.256245,0.256245,-0.213223,0.214757,-0.002128,2.4140,2.0312,0.2590
2.4783,0.020090,-0.269394,0.269394,-0.230097,0.230097,-0.002128,2.4140,2.0312,0.2590
2.4984,0.020137,-0.282574,0.282574,-0.245437,0.242369,-0.002141,2.3746,2.0668,0.3131
2.5185,0.020119,-0.295742,0.295742,-0.254641,0.253107,-0.002127,2.4180,2.0270,0.2540
2.5386,0.020117,-0.308839,0.308839,-0.266913,0.266913,-0.002142,2.3742,2.0672,0.3136
2.5587,0.020098,-0.320478,0.320478,-0.282252,0.282252,-0.002127,2.4180,2.0270,0.2539
2.5790,0.020283,-0.330214,0.330214,-0.299126,0.296058,-0.002142,2.3742,2.0672,0.3136
2.5994,0.020400,-0.337969,0.337969,-0.309864,0.305262,-0.002142,2.3742,2.0672,0.3136
2.6195,0.020084,-0.343608,0.343608,-0.320602,0.317534,-0.002142,2.3742,2.0672,0.3136
2.6396,0.020086,-0.347267,0.347267,-0.334408,0.332874,-0.002127,2.4180,2.0270,0.2539
2.6599,0.020304,-0.348953,0.348953,-0.342078,0.339010,-0.002128,2.4134,2.0312,0.2601
2.6800,0.020087,-0.348630,0.348630,-0.343612,0.340544,-0.002128,2.4134,2.0312,0.2601
2.7001,0.020116,-0.346322,0.346322,-0.349748,0.346680,-0.002141,2.3747,2.0668,0.3130
2.7202,0.020093,-0.342033,0.342033,-0.352816,0.346680,-0.002127,2.4180,2.0270,0.2540
2.7403,0.020102,-0.335760,0.335760,-0.352816,0.346680,-0.002127,2.4180,2.0270,0.2540
2.7604,0.020098,-0.327504,0.327504,-0.349748,0.345146,-0.002129,2.4127,2.0255,0.2650
2.7806,0.020160,-0.317231,0.317231,-0.346680,0.342078,-0.002128,2.4140,2.0313,0.2590
2.8014,0.020842,-0.304518,0.304518,-0.343612,0.340544,-0.002141,2.3746,2.0668,0.3131
2.8215,0.020091,-0.291369,0.291369,-0.340544,0.337476,-0.002127,2.4180,2.0270,0.2540
2.8416,0.020080,-0.278226,0.278226,-0.337476,0.332874,-0.002128,2.4134,2.0312,0.2601
2.8617,0.020083,-0.265082,0.265082,-0.328272,0.326738,-0.002128,2.4134,2.0312,0.2601
2.8817,0.020088,-0.251934,0.251934,-0.314466,0.314466,-0.002128,2.4134,2.0312,0.2601
2.9018,0.020085,-0.238789,0.238789,-0.297592,0.299126,-0.002128,2.4134,2.0312,0.2601
2.9219,0.020104,-0.225631,0.225631,-0.279185,0.283786,-0.002128,2.4134,2.0312,0.2601
2.9420,0.020098,-0.212476,0.212476,-0.266913,0.273049,-0.002141,2.3747,2.0668,0.3130
2.9623,0.020240,-0.199229,0.199229,-0.253107,0.257709,-0.002127,2.4180,2.0270,0.2540
2.9825,0.020250,-0.185976,0.185976,-0.240835,0.243903,-0.002128,2.4135,2.0312,0.2601
3.0031,0.020562,-0.172518,0.172518,-0.228563,0.230097,-0.002141,2.3747,2.0668,0.3130
3.0237,0.020638,-0.159010,0.159010,-0.213223,0.219359,-0.002127,2.4180,2.0270,0.2540
3.0438,0.020093,-0.145859,0.145859,-0.199418,0.207087,-0.002128,2.4135,2.0312,0.2601
3.0639,0.020088,-0.132712,0.132712,-0.185612,0.193282,-0.002128,2.4135,2.0312,0.2601
3.0840,0.020084,-0.119567,0.119567,-0.171806,0.177942,-0.002128,2.4135,2.0312,0.2601
3.1041,0.020094,-0.106415,0.106415,-0.159534,0.162602,-0.002141,2.3747,2.0668,0.3130
3.1242,0.020130,-0.093240,0.093240,-0.145728,0.145728,-0.002127,2.4180,2.0270,0.2540
3.1443,0.020083,-0.080096,0.080096,-0.133456,0.133456,-0.002128,2.4135,2.0312,0.2601
3.1644,0.020093,-0.066945,0.066945,-0.119651,0.116583,-0.002128,2.4135,2.0312,0.2601
3.1845,0.020089,-0.053796,0.053796,-0.104311,0.104311,-0.002128,2.4135,2.0312,0.2601
3.2046,0.020100,-0.040692,0.040692,-0.078233,0.078233,-0.002128,2.4135,2.0312,0.2601
3.2247,0.020089,-0.028985,0.028985,-0.065961,0.064427,-0.002128,2.4135,2.0312,0.2601
3.2448,0.020095,-0.019257,0.019257,-0.050621,0.052155,-0.002141,2.3747,2.0668,0.3130
3.2649,0.020128,-0.011499,0.011499,-0.038350,0.036816,-0.002127,2.4180,2.0270,0.2540
3.2850,0.020086,-0.005741,0.005741,-0.023010,0.026078,-0.002142,2.3742,2.0672,0.3136
3.3051,0.020101,-0.001960,0.001960,-0.012272,0.013806,-0.002116,2.4299,2.0769,0.2004
3.3253,0.020181,-0.000160,0.000160,-0.006136,0.004602,-0.002129,2.4122,2.0260,0.2657
3.3454,0.020123,-0.000356,0.000356,-0.003068,0.001534,-0.002141,2.3748,2.0673,0.3124
3.3656,0.020209,-0.002553,0.002553,-0.004602,0.003068,-0.002127,2.4180,2.0269,0.2540
3.3857,0.020099,-0.006727,0.006727,-0.004602,0.003068,-0.002127,2.4180,2.0269,0.2540
3.4058,0.020088,-0.012879,0.012879,-0.003068,0.000000,-0.002142,2.3742,2.0672,0.3136
3.4259,0.020091,-0.021014,0.021014,-0.003068,-0.001534,-0.002127,2.4180,2.0270,0.2539
3.4459,0.020084,-0.031126,0.031126,-0.003068,0.001534,-0.002142,2.3742,2.0672,0.3136
3.4660,0.020088,-0.043221,0.043221,-0.006136,0.009204,-0.002127,2.4180,2.0270,0.2539
3.4861,0.020083,-0.056364,0.056364,-0.013806,0.019942,-0.002118,2.4631,2.0168,0.3150
3.5062,0.020087,-0.069511,0.069511,-0.030680,0.032214,-0.002129,2.4088,2.0322,0.2538
3.5263,0.020098,-0.082665,0.082665,-0.047553,0.042951,-0.002141,2.3751,2.0667,0.3136
3.5464,0.020075,-0.095804,0.095804,-0.061359,0.056757,-0.002127,2.4179,2.0270,0.2539
3.5664,0.020045,-0.108923,0.108923,-0.070563,0.069029,-0.002128,2.4135,2.0312,0.2601
3.5865,0.020091,-0.122073,0.122073,-0.078233,0.082835,-0.002141,2.3747,2.0668,0.3130
3.6066,0.020086,-0.135219,0.135219,-0.095107,0.098175,-0.002140,2.3787,2.0631,0.3075
3.6267,0.020098,-0.148374,0.148374,-0.115049,0.110447,-0.002127,2.4176,2.0274,0.2545
3.6468,0.020097,-0.161527,0.161527,-0.127320,0.121184,-0.002128,2.4135,2.0311,0.2601
3.6669,0.020088,-0.174675,0.174675,-0.138058,0.134990,-0.002128,2.4135,2.0311,0.2601
3.6870,0.020079,-0.187817,0.187817,-0.148796,0.148796,-0.002128,2.4135,2.0311,0.2601
3.7071,0.020090,-0.200966,0.200966,-0.162602,0.161068,-0.002128,2.4135,2.0311,0.2601
3.7271,0.020087,-0.214113,0.214113,-0.179476,0.176408,-0.002128,2.4135,2.0311,0.2601
3.7472,0.020083,-0.227257,0.227257,-0.193282,0.187146,-0.002128,2.4135,2.0311,0.2601
3.7673,0.020084,-0.240402,0.240402,-0.202485,0.199418,-0.002128,2.4135,2.0311,0.2601
3.7874,0.020086,-0.253548,0.253548,-0.216291,0.213223,-0.002128,2.4135,2.0311,0.2601
3.8075,0.020082,-0.266692,0.266692,-0.231631,0.228563,-0.002141,2.3747,2.0668,0.3130
3.8276,0.020089,-0.279840,0.279840,-0.243903,0.242369,-0.002116,2.4298,2.0770,0.2005
3.8477,0.020087,-0.292987,0.292987,-0.254641,0.254641,-0.002129,2.4122,2.0260,0.2657
3.8677,0.020083,-0.306128,0.306128,-0.266913,0.266913,-0.002118,2.4259,2.0812,0.2054
3.8878,0.020097,-0.318185,0.318185,-0.280718,0.279185,-0.002129,2.4126,2.0255,0.2652
3.9079,0.020088,-0.328256,0.328256,-0.297592,0.294524,-0.002128,2.4140,2.0313,0.2590
3.9280,0.020084,-0.336343,0.336343,-0.309864,0.305262,-0.002128,2.4140,2.0313,0.2590
3.9481,0.020095,-0.342454,0.342454,-0.322136,0.317534,-0.002128,2.4140,2.0313,0.2590
3.9682,0.020093,-0.346582,0.346582,-0.332874,0.329806,-0.002141,2.3746,2.0668,0.3131
3.9883,0.020090,-0.348729,0.348729,-0.339010,0.337476,-0.002127,2.4180,2.0270,0.2540
4.0084,0.020098,-0.348894,0.348894,-0.345146,0.342078,-0.002118,2.4253,2.0811,0.2066
4.0285,0.020099,-0.347076,0.347076,-0.351282,0.345146,-0.002129,2.4127,2.0255,0.2650
4.0486,0.020099,-0.343275,0.343275,-0.349748,0.343612,-0.002141,2.3747,2.0674,0.3124
4.0687,0.020096,-0.337492,0.337492,-0.352816,0.349748,-0.002127,2.4180,2.0269,0.2540
4.0888,0.020085,-0.329731,0.329731,-0.354350,0.349748,-0.002128,2.4135,2.0312,0.2601
4.1088,0.020088,-0.319989,0.319989,-0.351282,0.346680,-0.002141,2.3747,2.0668,0.3130
4.1289,0.020091,-0.308264,0.308264,-0.345146,0.342078,-0.002140,2.3787,2.0631,0.3075
4.1490,0.020096,-0.295158,0.295158,-0.343612,0.339010,-0.002127,2.4176,2.0274,0.2545
4.1691,0.020086,-0.282012,0.282012,-0.335942,0.332874,-0.002142,2.3742,2.0672,0.3135
4.1892,0.020092,-0.268862,0.268862,-0.326738,0.326738,-0.002127,2.4180,2.0270,0.2539
4.2093,0.020088,-0.255714,0.255714,-0.312932,0.316000,-0.002128,2.4134,2.0312,0.2601
4.2294,0.020090,-0.242566,0.242566,-0.297592,0.302194,-0.002128,2.4134,2.0312,0.2601
4.2495,0.020093,-0.229415,0.229415,-0.283786,0.288388,-0.002141,2.3747,2.0668,0.3130
4.2696,0.020092,-0.216264,0.216264,-0.269981,0.274583,-0.002127,2.4180,2.0270,0.2540
4.2897,0.020091,-0.203115,0.203115,-0.256175,0.259243,-0.002128,2.4135,2.0312,0.2601
4.3097,0.020085,-0.189969,0.189969,-0.242369,0.245437,-0.002128,2.4135,2.0312,0.2601
4.3298,0.020090,-0.176821,0.176821,-0.228563,0.231631,-0.002128,2.4135,2.0312,0.2601
4.3499,0.020094,-0.163669,0.163669,-0.213223,0.219359,-0.002128,2.4135,2.0312,0.2601
4.3700,0.020090,-0.150520,0.150520,-0.199418,0.205553,-0.002128,2.4135,2.0312,0.2601
4.3901,0.020100,-0.137365,0.137365,-0.185612,0.193282,-0.002128,2.4135,2.0312,0.2601
4.4102,0.020088,-0.124217,0.124217,-0.173340,0.177942,-0.002141,2.3747,2.0668,0.3130
4.4303,0.020079,-0.111075,0.111075,-0.161068,0.165670,-0.002127,2.4180,2.0270,0.2540
4.4504,0.020083,-0.097931,0.097931,-0.147262,0.148796,-0.002142,2.3742,2.0672,0.3136
4.4705,0.020084,-0.084786,0.084786,-0.136524,0.138058,-0.002127,2.4180,2.0270,0.2539
4.4908,0.020299,-0.071500,0.071500,-0.122718,0.122718,-0.002142,2.3742,2.0672,0.3136
4.5108,0.020080,-0.058358,0.058358,-0.110447,0.108913,-0.002127,2.4180,2.0270,0.2539
4.5309,0.020084,-0.045213,0.045213,-0.095107,0.095107,-0.002128,2.4134,2.0312,0.2601
4.5510,0.020084,-0.032834,0.032834,-0.082835,0.081301,-0.002141,2.3747,2.0668,0.3130
4.5711,0.020086,-0.022421,0.022421,-0.069029,0.069029,-0.002127,2.4180,2.0270,0.2540
4.5912,0.020090,-0.013986,0.013986,-0.055223,0.055223,-0.002128,2.4135,2.0312,0.2601
4.6113,0.020085,-0.007533,0.007533,-0.041417,0.041417,-0.002128,2.4135,2.0312,0.2601
4.6313,0.020085,-0.003061,0.003061,-0.027612,0.030680,-0.002128,2.4135,2.0312,0.2601
4.6514,0.020085,-0.000569,0.000569,-0.006136,0.009204,-0.002128,2.4135,2.0312,0.2601
4.6715,0.020093,-0.000058,0.000058,-0.006136,0.009204,-0.002128,2.4135,2.0312,0.2601
4.6916,0.020086,-0.001528,0.001528,-0.003068,0.000000,-0.002128,2.4135,2.0312,0.2601
4.7117,0.020084,-0.004977,0.004977,-0.003068,0.001534,-0.002128,2.4135,2.0312,0.2601
4.7318,0.020084,-0.010407,0.010407,-0.003068,0.000000,-0.002128,2.4135,2.0312,0.2601
4.7519,0.020084,-0.017817,0.017817,-0.003068,0.001534,-0.002128,2.4135,2.0312,0.2601
4.7719,0.020082,-0.027205,0.027205,-0.006136,0.007670,-0.002128,2.4135,2.0312,0.2601
4.7920,0.020092,-0.038580,0.038580,-0.013806,0.013806,-0.002128,2.4135,2.0312,0.2601
4.8121,0.020090,-0.051573,0.051573,-0.024544,0.018408,-0.002128,2.4135,2.0312,0.2601
4.8322,0.020088,-0.064721,0.064721,-0.035282,0.026078,-0.002128,2.4135,2.0312,0.2601
4.8523,0.020086,-0.077867,0.077867,-0.046019,0.038350,-0.002128,2.4135,2.0312,0.2601
4.8724,0.020089,-0.091015,0.091015,-0.055223,0.055223,-0.002128,2.4135,2.0312,0.2601
4.8925,0.020093,-0.104166,0.104166,-0.069029,0.072097,-0.002128,2.4135,2.0312,0.2601
4.9126,0.020090,-0.117315,0.117315,-0.087437,0.085903,-0.002128,2.4135,2.0312,0.2601
4.9332,0.020623,-0.130813,0.130813,-0.102777,0.099709,-0.002128,2.4135,2.0312,0.2601
4.9533,0.020088,-0.143960,0.143960,-0.113515,0.110447,-0.002141,2.3747,2.0668,0.3130
4.9734,0.020089,-0.157109,0.157109,-0.124252,0.119651,-0.002127,2.4180,2.0270,0.2540
4.9935,0.020087,-0.170256,0.170256,-0.138058,0.134990,-0.002128,2.4135,2.0312,0.2601
5.0135,0.020085,-0.183401,0.183401,-0.153398,0.150330,-0.002128,2.4135,2.0312,0.2601
5.0336,0.020085,-0.196547,0.196547,-0.167204,0.162602,-0.002128,2.4135,2.0312,0.2601
5.0538,0.020210,-0.209774,0.209774,-0.179476,0.176408,-0.002141,2.3747,2.0668,0.3130
5.0739,0.020090,-0.222923,0.222923,-0.190214,0.188680,-0.002127,2.4180,2.0270,0.2540
5.0941,0.020198,-0.236142,0.236142,-0.205553,0.202485,-0.002128,2.4135,2.0312,0.2601
5.1146,0.020420,-0.249507,0.249507,-0.219359,0.214757,-0.002131,2.3865,2.1168,0.2594
5.1347,0.020104,-0.262665,0.262665,-0.230097,0.228563,-0.002128,2.4167,2.0218,0.2595
5.1548,0.020101,-0.275821,0.275821,-0.243903,0.242369,-0.002128,2.4136,2.0317,0.2595
5.1749,0.020102,-0.288978,0.288978,-0.256175,0.254641,-0.002141,2.3746,2.0667,0.3130
5.1949,0.020090,-0.302127,0.302127,-0.268447,0.268447,-0.002127,2.4180,2.0270,0.2540
5.2150,0.020093,-0.314722,0.314722,-0.282252,0.283786,-0.002142,2.3742,2.0672,0.3136
5.2351,0.020099,-0.325401,0.325401,-0.299126,0.294524,-0.002127,2.4180,2.0270,0.2539
5.2552,0.020093,-0.334095,0.334095,-0.311398,0.303728,-0.002128,2.4134,2.0312,0.2601
