t,loop_dt,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,cmd_ant_l,cmd_ant_r,pres_x,pres_y,pres_z,pres_roll,pres_pitch,pres_yaw,pres_ant_l,pres_ant_r,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000316,0.000022,-0.001901,-0.0985,0.1768,0.0004,-0.003068,0.000000,0.000316,0.000022,-0.001901,-0.0985,0.1768,0.0004,-0.003068,0.000000,0.000000,0.576777,-0.582913,0.584447,-0.585981,0.585981,-0.578311
0.0167,0.016744,0.000311,0.000022,-0.001869,-0.0969,0.1738,0.0003,-0.003017,0.000000,0.000316,0.000022,-0.001901,-0.0985,0.1768,0.0004,-0.003068,0.000000,0.000000,0.576777,-0.582913,0.584447,-0.585981,0.585981,-0.578311
0.0335,0.016765,0.000306,0.000021,-0.001838,-0.0952,0.1708,0.0003,-0.002965,0.000000,0.000316,0.000022,-0.001901,-0.0985,0.1768,0.0004,-0.003068,0.000000,0.000000,0.576777,-0.582913,0.584447,-0.585981,0.585981,-0.578311
0.0503,0.016748,0.000300,0.000021,-0.001806,-0.0936,0.1679,0.0003,-0.002914,0.000000,0.000316,0.000022,-0.001901,-0.0985,0.1768,0.0004,-0.003068,0.000000,0.000000,0.576777,-0.582913,0.584447,-0.585981,0.585981,-0.578311
0.0670,0.016742,0.000295,0.000020,-0.001774,-0.0919,0.1649,0.0003,-0.002862,0.000000,0.000303,0.000077,-0.001926,-0.0876,0.2286,0.1070,-0.003068,0.000000,0.000000,0.576777,-0.581379,0.584447,-0.585981,0.585981,-0.576777
0.0837,0.016746,0.000290,0.000020,-0.001742,-0.0903,0.1620,0.0003,-0.002811,0.000000,0.000549,-0.000006,-0.002036,-0.1876,0.3220,0.1496,-0.003068,0.000000,0.000000,0.570641,-0.579845,0.584447,-0.584447,0.585981,-0.572175
0.1005,0.016745,0.000284,0.000020,-0.001710,-0.0886,0.1590,0.0003,-0.002760,0.000000,0.000606,0.000127,-0.002100,-0.1952,0.5157,0.2517,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.567573
0.1172,0.016746,0.000279,0.000019,-0.001678,-0.0870,0.1560,0.0003,-0.002708,0.000000,0.000641,0.000152,-0.002106,-0.1444,0.5122,0.2946,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.566039
0.1340,0.016746,0.000274,0.000019,-0.001646,-0.0853,0.1531,0.0003,-0.002657,0.000000,0.000641,0.000152,-0.002106,-0.1444,0.5122,0.2946,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.566039
0.1507,0.016745,0.000269,0.000019,-0.001615,-0.0837,0.1501,0.0003,-0.002606,0.000000,0.000637,0.000149,-0.002105,-0.1497,0.5126,0.2902,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.566039
0.1675,0.016745,0.000263,0.000018,-0.001583,-0.0820,0.1472,0.0003,-0.002554,0.000000,0.000678,0.000188,-0.002118,-0.0992,0.5292,0.3441,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.1844,0.016910,0.000258,0.000018,-0.001551,-0.0803,0.1442,0.0003,-0.002502,0.000000,0.000728,0.000168,-0.002105,-0.0654,0.4925,0.2851,-0.001534,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.2014,0.016986,0.000253,0.000017,-0.001518,-0.0787,0.1412,0.0003,-0.002450,0.000000,0.000728,0.000168,-0.002105,-0.0654,0.4925,0.2851,-0.001534,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.2181,0.016772,0.000247,0.000017,-0.001486,-0.0770,0.1382,0.0003,-0.002399,0.000000,0.000728,0.000168,-0.002105,-0.0654,0.4925,0.2851,-0.001534,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.2349,0.016778,0.000242,0.000017,-0.001455,-0.0754,0.1352,0.0003,-0.002347,0.000000,0.000728,0.000168,-0.002105,-0.0654,0.4925,0.2851,-0.001534,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.2517,0.016759,0.000237,0.000016,-0.001423,-0.0737,0.1323,0.0003,-0.002296,0.000000,0.000728,0.000168,-0.002105,-0.0654,0.4925,0.2851,-0.001534,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.2684,0.016752,0.000231,0.000016,-0.001391,-0.0721,0.1293,0.0003,-0.002244,0.000000,0.000669,0.000186,-0.002118,-0.1079,0.5313,0.3447,-0.001534,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.2852,0.016751,0.000226,0.000016,-0.001359,-0.0704,0.1264,0.0003,-0.002193,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.3019,0.016744,0.000221,0.000015,-0.001327,-0.0688,0.1234,0.0003,-0.002142,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.3187,0.016759,0.000215,0.000015,-0.001295,-0.0671,0.1204,0.0003,-0.002090,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.3354,0.016744,0.000210,0.000015,-0.001263,-0.0655,0.1175,0.0003,-0.002039,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.3522,0.016758,0.000205,0.000014,-0.001232,-0.0638,0.1145,0.0003,-0.001987,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.3689,0.016749,0.000200,0.000014,-0.001200,-0.0622,0.1116,0.0003,-0.001936,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.001534,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.3857,0.016752,0.000194,0.000013,-0.001168,-0.0605,0.1086,0.0003,-0.001885,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.001534,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.4024,0.016742,0.000189,0.000013,-0.001136,-0.0589,0.1056,0.0002,-0.001833,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.001534,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.4192,0.016755,0.000184,0.000013,-0.001104,-0.0572,0.1027,0.0002,-0.001782,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.4359,0.016747,0.000178,0.000012,-0.001072,-0.0556,0.0997,0.0002,-0.001731,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.4527,0.016752,0.000173,0.000012,-0.001041,-0.0539,0.0968,0.0002,-0.001679,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.4694,0.016744,0.000168,0.000012,-0.001009,-0.0523,0.0938,0.0002,-0.001628,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.4862,0.016750,0.000162,0.000011,-0.000977,-0.0506,0.0908,0.0002,-0.001576,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.5029,0.016747,0.000157,0.000011,-0.000945,-0.0490,0.0879,0.0002,-0.001525,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.001534,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.5197,0.016757,0.000152,0.000011,-0.000913,-0.0473,0.0849,0.0002,-0.001474,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.5364,0.016755,0.000147,0.000010,-0.000881,-0.0457,0.0820,0.0002,-0.001422,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.5532,0.016756,0.000141,0.000010,-0.000849,-0.0440,0.0790,0.0002,-0.001371,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.5700,0.016777,0.000136,0.000009,-0.000818,-0.0424,0.0760,0.0002,-0.001319,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.5872,0.017233,0.000131,0.000009,-0.000785,-0.0407,0.0730,0.0002,-0.001266,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.6039,0.016746,0.000125,0.000009,-0.000753,-0.0390,0.0700,0.0002,-0.001215,0.000000,0.000728,0.000169,-0.002105,-0.0649,0.4927,0.2857,-0.003068,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.6207,0.016756,0.000120,0.000008,-0.000721,-0.0374,0.0671,0.0002,-0.001164,0.000000,0.000722,0.000170,-0.002106,-0.0690,0.4963,0.2912,-0.003068,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.6375,0.016746,0.000115,0.000008,-0.000689,-0.0357,0.0641,0.0002,-0.001112,0.000000,0.000722,0.000170,-0.002106,-0.0690,0.4963,0.2912,-0.003068,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.6542,0.016766,0.000109,0.000008,-0.000657,-0.0341,0.0611,0.0002,-0.001061,0.000000,0.000669,0.000186,-0.002118,-0.1076,0.5309,0.3440,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.6710,0.016780,0.000104,0.000007,-0.000626,-0.0324,0.0582,0.0002,-0.001009,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.6879,0.016869,0.000099,0.000007,-0.000593,-0.0307,0.0552,0.0001,-0.000958,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.7046,0.016747,0.000093,0.000006,-0.000562,-0.0291,0.0522,0.0001,-0.000906,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.7214,0.016758,0.000088,0.000006,-0.000530,-0.0274,0.0493,0.0001,-0.000855,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.7381,0.016746,0.000083,0.000006,-0.000498,-0.0258,0.0463,0.0001,-0.000803,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.7549,0.016767,0.000077,0.000005,-0.000466,-0.0241,0.0433,0.0001,-0.000752,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.7716,0.016745,0.000072,0.000005,-0.000434,-0.0225,0.0404,0.0001,-0.000701,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.7884,0.016749,0.000067,0.000005,-0.000402,-0.0208,0.0374,0.0001,-0.000649,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.8051,0.016745,0.000062,0.000004,-0.000371,-0.0192,0.0345,0.0001,-0.000598,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.8219,0.016755,0.000056,0.000004,-0.000339,-0.0175,0.0315,0.0001,-0.000546,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.8386,0.016751,0.000051,0.000004,-0.000307,-0.0159,0.0285,0.0001,-0.000495,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.8554,0.016750,0.000046,0.000003,-0.000275,-0.0142,0.0256,0.0001,-0.000444,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.8721,0.016740,0.000040,0.000003,-0.000243,-0.0126,0.0226,0.0001,-0.000392,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.8889,0.016753,0.000035,0.000002,-0.000211,-0.0109,0.0196,0.0001,-0.000341,0.000000,0.000675,0.000184,-0.002117,-0.1036,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.9056,0.016745,0.000030,0.000002,-0.000179,-0.0093,0.0167,0.0000,-0.000290,0.000000,0.000728,0.000169,-0.002105,-0.0649,0.4927,0.2857,-0.003068,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.9224,0.016749,0.000025,0.000002,-0.000148,-0.0076,0.0137,0.0000,-0.000238,0.000000,0.000669,0.000186,-0.002118,-0.1080,0.5313,0.3446,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.9391,0.016764,0.000019,0.000001,-0.000116,-0.0060,0.0108,0.0000,-0.000187,0.000000,0.000729,0.000169,-0.002105,-0.0644,0.4923,0.2850,-0.003068,0.000000,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
0.9559,0.016755,0.000014,0.000001,-0.000084,-0.0043,0.0078,0.0000,-0.000135,0.000000,0.000669,0.000186,-0.002118,-0.1080,0.5314,0.3447,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.9726,0.016749,0.000009,0.000001,-0.000052,-0.0027,0.0048,0.0000,-0.000084,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
0.9894,0.016753,0.000003,0.000000,-0.000020,-0.0010,0.0019,0.0000,-0.000033,0.000000,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
1.0061,0.016741,0.000000,0.000000,0.000008,0.0040,0.0000,0.0027,0.000403,-0.000403,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
1.0229,0.016748,0.000000,0.000000,0.000029,0.0149,0.0000,0.0101,0.001505,-0.001505,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
1.0396,0.016745,0.000000,0.000000,0.000050,0.0259,0.0000,0.0174,0.002605,-0.002605,0.000675,0.000184,-0.002117,-0.1035,0.5273,0.3385,-0.003068,0.000000,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
1.0564,0.016756,0.000000,0.000000,0.000071,0.0368,0.0000,0.0248,0.003703,-0.003703,0.000661,0.000239,-0.002105,-0.0940,0.5790,0.2853,-0.001534,-0.001534,0.000000,0.567573,-0.576777,0.584447,-0.587515,0.585981,-0.564505
1.0733,0.016912,0.000000,0.000000,0.000092,0.0479,0.0000,0.0322,0.004807,-0.004807,0.000676,0.000179,-0.002118,-0.1050,0.5224,0.3447,-0.001534,-0.001534,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
1.0900,0.016760,0.000000,0.000000,0.000113,0.0588,0.0000,0.0396,0.005897,-0.005897,0.000676,0.000179,-0.002118,-0.1050,0.5224,0.3447,-0.001534,-0.001534,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
1.1068,0.016740,0.000000,0.000000,0.000134,0.0697,0.0000,0.0470,0.006979,-0.006979,0.000728,0.000169,-0.002105,-0.0648,0.4932,0.2850,-0.001534,-0.001534,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
1.1236,0.016841,0.000000,0.000000,0.000155,0.0806,0.0000,0.0543,0.008061,-0.008061,0.000722,0.000170,-0.002106,-0.0690,0.4963,0.2913,0.001534,-0.001534,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
1.1404,0.016751,0.000000,0.000000,0.000176,0.0915,0.0000,0.0617,0.009129,-0.009129,0.000669,0.000186,-0.002118,-0.1076,0.5310,0.3440,0.003068,-0.003068,0.000000,0.567573,-0.576777,0.584447,-0.585981,0.585981,-0.564505
1.1571,0.016755,0.000000,0.000000,0.000197,0.1024,0.0000,0.0691,0.010189,-0.010189,0.000728,0.000169,-0.002105,-0.0645,0.4923,0.2851,0.003068,-0.004602,0.000000,0.567573,-0.578311,0.584447,-0.585981,0.585981,-0.564505
1.1742,0.017068,0.000000,0.000000,0.000218,0.1135,0.0000,0.0765,0.011257,-0.011257,0.000628,0.000225,-0.002068,-0.0591,0.5146,0.2375,0.006136,-0.004602,0.000000,0.569107,-0.578311,0.584447,-0.587515,0.585981,-0.566039
1.1910,0.016750,0.000000,0.000000,0.000239,0.1243,0.0000,0.0839,0.012295,-0.012295,0.000628,0.000225,-0.002068,-0.0591,0.5146,0.2375,0.006136,-0.004602,0.000000,0.569107,-0.578311,0.584447,-0.587515,0.585981,-0.566039
1.2077,0.016747,0.000000,0.000000,0.000260,0.1351,0.0000,0.0912,0.013320,-0.013320,0.000598,0.000258,-0.002060,-0.0098,0.4961,0.2961,0.009204,-0.004602,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.566039
1.2244,0.016746,0.000000,0.000000,0.000281,0.1458,0.0000,0.0986,0.014331,-0.014331,0.000601,0.000255,-0.002061,-0.0149,0.4980,0.2900,0.009204,-0.009204,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.566039
1.2412,0.016750,0.000000,0.000000,0.000302,0.1566,0.0000,0.1059,0.015329,-0.015329,0.000601,0.000255,-0.002061,-0.0149,0.4980,0.2900,0.007670,-0.010738,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.566039
1.2579,0.016749,0.000000,0.000000,0.000323,0.1673,0.0000,0.1132,0.016311,-0.016311,0.000560,0.000216,-0.002048,-0.0643,0.4811,0.2371,0.009204,-0.010738,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.567573
1.2748,0.016813,0.000000,0.000000,0.000344,0.1780,0.0000,0.1206,0.017281,-0.017281,0.000560,0.000216,-0.002048,-0.0643,0.4811,0.2371,0.009204,-0.010738,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.567573
1.2916,0.016795,0.000000,0.000000,0.000364,0.1887,0.0000,0.1279,0.018232,-0.018232,0.000560,0.000216,-0.002048,-0.0643,0.4811,0.2371,0.009204,-0.010738,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.567573
1.3083,0.016788,0.000000,0.000000,0.000385,0.1994,0.0000,0.1352,0.019165,-0.019165,0.000560,0.000216,-0.002048,-0.0643,0.4811,0.2371,0.009204,-0.010738,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.567573
1.3251,0.016759,0.000000,0.000000,0.000406,0.2099,0.0000,0.1425,0.020077,-0.020077,0.000560,0.000216,-0.002048,-0.0643,0.4811,0.2371,0.009204,-0.010738,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.567573
1.3419,0.016752,0.000000,0.000000,0.000426,0.2205,0.0000,0.1498,0.020968,-0.020968,0.000551,0.000166,-0.002036,-0.0694,0.5339,0.2963,0.013806,-0.013806,0.000000,0.570641,-0.578311,0.585981,-0.587515,0.585981,-0.567573
1.3586,0.016767,0.000000,0.000000,0.000447,0.2310,0.0000,0.1571,0.021840,-0.021840,0.000565,0.000226,-0.002050,-0.0586,0.4774,0.2364,0.016874,-0.013806,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.567573
1.3754,0.016744,0.000000,0.000000,0.000467,0.2415,0.0000,0.1643,0.022688,-0.022688,0.000565,0.000226,-0.002050,-0.0586,0.4774,0.2364,0.016874,-0.013806,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.567573
1.3921,0.016730,0.000000,0.000000,0.000488,0.2519,0.0000,0.1716,0.023513,-0.023513,0.000564,0.000219,-0.002049,-0.0598,0.4833,0.2427,0.013806,-0.016874,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.567573
1.4088,0.016747,0.000000,0.000000,0.000508,0.2622,0.0000,0.1788,0.024316,-0.024316,0.000564,0.000219,-0.002049,-0.0598,0.4833,0.2427,0.013806,-0.016874,0.000000,0.570641,-0.578311,0.584447,-0.587515,0.585981,-0.567573
1.4256,0.016753,0.000000,0.000000,0.000528,0.2725,0.0000,0.1861,0.025094,-0.025094,0.000551,0.000165,-0.002036,-0.0698,0.5337,0.2958,0.019942,-0.018408,0.000000,0.570641,-0.578311,0.585981,-0.587515,0.585981,-0.567573
1.4423,0.016745,0.000000,0.000000,0.000549,0.2828,0.0000,0.1933,0.025848,-0.025848,0.000511,0.000210,-0.002025,-0.0190,0.5122,0.3439,0.024544,-0.019942,0.000000,0.572175,-0.578311,0.585981,-0.587515,0.585981,-0.567573
1.4591,0.016790,0.000000,0.000000,0.000569,0.2930,0.0000,0.2006,0.026577,-0.026577,0.000511,0.000210,-0.002025,-0.0190,0.5122,0.3439,0.024544,-0.019942,0.000000,0.572175,-0.578311,0.585981,-0.587515,0.585981,-0.567573
1.4759,0.016742,0.000000,0.000000,0.000589,0.3032,0.0000,0.2078,0.027278,-0.027278,0.000516,0.000205,-0.002026,-0.0243,0.5144,0.3389,0.024544,-0.021476,0.000000,0.572175,-0.578311,0.585981,-0.587515,0.585981,-0.567573
1.4926,0.016755,0.000000,0.000000,0.000609,0.3133,0.0000,0.2150,0.027952,-0.027952,0.000516,0.000205,-0.002026,-0.0243,0.5144,0.3389,0.023010,-0.024544,0.000000,0.572175,-0.578311,0.585981,-0.587515,0.585981,-0.567573
1.5094,0.016745,0.000000,0.000000,0.000629,0.3233,0.0000,0.2222,0.028598,-0.028598,0.000421,0.000338,-0.001989,0.0860,0.5331,0.3931,0.024544,-0.024544,0.000000,0.575243,-0.578311,0.585981,-0.589049,0.585981,-0.567573
1.5261,0.016749,0.000000,0.000000,0.000649,0.3333,0.0000,0.2293,0.029216,-0.029216,0.000336,0.000457,-0.001956,0.1841,0.5503,0.4413,0.024544,-0.026078,0.000000,0.578311,-0.578311,0.585981,-0.590583,0.585981,-0.567573
1.5429,0.016743,0.000000,0.000000,0.000669,0.3432,0.0000,0.2365,0.029804,-0.029804,0.000290,0.000538,-0.001935,0.2338,0.5838,0.4363,0.026078,-0.029146,0.000000,0.579845,-0.578311,0.585981,-0.592117,0.585981,-0.567573
1.5596,0.016766,0.000000,0.000000,0.000689,0.3531,0.0000,0.2437,0.030363,-0.030363,0.000290,0.000538,-0.001935,0.2338,0.5838,0.4363,0.026078,-0.029146,0.000000,0.582913,-0.578311,0.585981,-0.592117,0.585981,-0.567573
1.5764,0.016746,0.000000,0.000000,0.000709,0.3629,0.0000,0.2508,0.030891,-0.030891,0.000213,0.000608,-0.001913,0.3279,0.5485,0.5447,0.026078,-0.029146,0.000000,0.582913,-0.578311,0.585981,-0.592117,0.585981,-0.567573
1.5931,0.016753,0.000000,0.000000,0.000728,0.3726,0.0000,0.2579,0.031389,-0.031389,0.000139,0.000678,-0.001891,0.4172,0.5207,0.6413,0.030680,-0.029146,0.000000,0.585981,-0.578311,0.585981,-0.592117,0.585981,-0.567573
1.6099,0.016749,0.000000,0.000000,0.000748,0.3822,0.0000,0.2650,0.031856,-0.031856,0.000105,0.000710,-0.001882,0.4574,0.5080,0.6852,0.030680,-0.029146,0.000000,0.587515,-0.578311,0.585981,-0.592117,0.585981,-0.567573
1.6266,0.016758,0.000000,0.000000,0.000767,0.3918,0.0000,0.2721,0.032290,-0.032290,-0.000055,0.000785,-0.001834,0.5516,0.4452,0.7892,0.027612,-0.029146,0.000000,0.592117,-0.578311,0.585981,-0.592117,0.585981,-0.569107
1.6434,0.016753,0.000000,0.000000,0.000787,0.4013,0.0000,0.2792,0.032693,-0.032693,-0.000081,0.000894,-0.001829,0.6903,0.4383,0.9403,0.029146,-0.030680,0.000000,0.595185,-0.578311,0.585981,-0.592117,0.585981,-0.567573
1.6602,0.016782,0.000000,0.000000,0.000806,0.4108,0.0000,0.2863,0.033064,-0.033064,-0.000081,0.000894,-0.001829,0.6903,0.4383,0.9403,0.029146,-0.030680,0.000000,0.595185,-0.578311,0.585981,-0.592117,0.585981,-0.567573
1.6769,0.016751,0.000000,0.000000,0.000825,0.4201,0.0000,0.2933,0.033400,-0.033400,-0.000078,0.000883,-0.001829,0.6758,0.4391,0.9245,0.032214,-0.030680,0.000000,0.595185,-0.578311,0.585981,-0.592117,0.585981,-0.567573
1.6937,0.016754,0.000000,0.000000,0.000844,0.4294,0.0000,0.3004,0.033704,-0.033704,-0.000079,0.000884,-0.001829,0.6778,0.4390,0.9267,0.032214,-0.030680,0.000000,0.595185,-0.578311,0.585981,-0.592117,0.585981,-0.567573
1.7104,0.016757,0.000000,0.000000,0.000863,0.4386,0.0000,0.3074,0.033974,-0.033974,-0.000025,0.000868,-0.001817,0.7165,0.4038,0.8722,0.030680,-0.032214,0.000000,0.595185,-0.579845,0.585981,-0.592117,0.585981,-0.567573
